,Antecedent,Consequent,Confidence,Support,len_act,act,len_cqt,cqt
0,set(),{'1001 رمانی که باید قبل از مرگ بخوانید'},0.01374373278723254,0.01374373278723254,0,,0,
1,set(),{'آموزشی'},0.09692112138973237,0.09692112138973237,0,,0,
2,set(),{'اجتماعی'},0.0218999364451663,0.0218999364451663,0,,0,
3,set(),{'ادبیات آلمان'},0.021308523409363747,0.021308523409363747,0,,0,
4,set(),{'ادبیات آمریکا'},0.20544099992938353,0.20544099992938353,0,,0,
5,set(),{'ادبیات استرالیا'},0.00854459430831156,0.00854459430831156,0,,0,
6,set(),{'ادبیات اقتباسی'},0.023577077889979522,0.023577077889979522,0,,0,
7,set(),{'ادبیات انگلیس'},0.09157192288680178,0.09157192288680178,0,,0,
8,set(),{'ادبیات ایران'},0.4472406609702705,0.4472406609702705,0,,0,
9,set(),{'ادبیات داستانی'},0.31350187133677,0.31350187133677,0,,0,
10,set(),{'ادبیات روسیه'},0.009647976837793941,0.009647976837793941,0,,0,
11,set(),{'ادبیات فرانسه'},0.03965115457947885,0.03965115457947885,0,,0,
12,set(),{'ادبیات معاصر'},0.24660158180919425,0.24660158180919425,0,,0,
13,set(),{'ادبیات نمایشی'},0.023515288468328507,0.023515288468328507,0,,0,
14,set(),{'ادبیات نوجوان'},0.04247581385495375,0.04247581385495375,0,,0,
15,set(),{'ادبیات واقع گرایانه'},0.17857142857142858,0.17857142857142858,0,,0,
16,set(),{'ادبیات ژاپن'},0.00957736035590707,0.00957736035590707,0,,0,
17,set(),{'ادبیات کانادا'},0.013249417414024434,0.013249417414024434,0,,0,
18,set(),{'ادبیات کلاسیک'},0.05794965044841466,0.05794965044841466,0,,0,
19,set(),{'ادبیات کهن'},0.01701857213473625,0.01701857213473625,0,,0,
20,set(),{'ادبیات کودک و نوجوان'},0.17325753830944143,0.17325753830944143,0,,0,
21,set(),{'اسطوره ها و افسانه ها'},0.008712308452792882,0.008712308452792882,0,,0,
22,set(),{'اقتصادی'},0.02236777063766683,0.02236777063766683,0,,0,
23,set(),{'تاریخ اسلام'},0.010698397005861168,0.010698397005861168,0,,0,
24,set(),{'تاریخ ایران'},0.036517548195748886,0.036517548195748886,0,,0,
25,set(),{'تاریخی'},0.05899124355624603,0.05899124355624603,0,,0,
26,set(),{'تجارت و کسب و کار'},0.03764741190593884,0.03764741190593884,0,,0,
27,set(),{'تعلیم و تربیت'},0.022067650589647624,0.022067650589647624,0,,0,
28,set(),{'جامعه شناسی'},0.016691970906009462,0.016691970906009462,0,,0,
29,set(),{'جایزه نوبل ادبیات'},0.014652919991526021,0.014652919991526021,0,,0,
30,set(),{'جشنواره فروش (30 درصد تخفیف)'},0.008906503777981781,0.008906503777981781,0,,0,
31,set(),{'خود زندگی نامه'},0.010980862933408657,0.010980862933408657,0,,0,
32,set(),{'خودپروری'},0.06397853258950639,0.06397853258950639,0,,0,
33,set(),{'داستان اجتماعی'},0.008376880163830237,0.008376880163830237,0,,0,
34,set(),{'داستان تاریخی'},0.030806440223148084,0.030806440223148084,0,,0,
35,set(),{'داستان تریلر'},0.010610126403502578,0.010610126403502578,0,,0,
36,set(),{'داستان جنایی'},0.008482804886660547,0.008482804886660547,0,,0,
37,set(),{'داستان حیوانات'},0.025686745286349833,0.025686745286349833,0,,0,
38,set(),{'داستان درام'},0.015403220111574042,0.015403220111574042,0,,0,
39,set(),{'داستان دینی'},0.009047736741755526,0.009047736741755526,0,,0,
40,set(),{'داستان روانشناسانه'},0.009595014476378786,0.009595014476378786,0,,0,
41,set(),{'داستان عاشقانه'},0.0193136077960596,0.0193136077960596,0,,0,
42,set(),{'داستان علمی تخیلی'},0.010645434644446014,0.010645434644446014,0,,0,
43,set(),{'داستان فانتزی'},0.06667078596144341,0.06667078596144341,0,,0,
44,set(),{'داستان ماجرایی'},0.021802838782571853,0.021802838782571853,0,,0,
45,set(),{'داستان مصور'},0.021026057481816254,0.021026057481816254,0,,0,
46,set(),{'داستان معمایی'},0.02108784690346727,0.02108784690346727,0,,0,
47,set(),{'داستان وحشت'},0.00891533083821764,0.00891533083821764,0,,0,
48,set(),{'داستان کمدی (طنز)'},0.019066450109455547,0.019066450109455547,0,,0,
49,set(),{'داستان کوتاه'},0.04335851987853965,0.04335851987853965,0,,0,
50,set(),{'دانستنی ها'},0.010018713367700022,0.010018713367700022,0,,0,
